noun,modifier,Verb,sentence2,label,sentence1,idx
gunsmith,celebrated,,A celebrated gunsmith blues a rifle barrel.,2,A gunsmith blues a rifle barrel.,4010.0
clarinet,low,,You use a low clarinet to play ragtime.,2,You use a clarinet to play ragtime.,5235.0
writer,mystic,,A mystic writer begins writing a book.,2,A writer begins writing a book.,10986.0
butcher,traditional,,A traditional butcher quarters a chicken.,2,A butcher quarters a chicken.,6414.0
channel,potential,,A potential channel is used for boating.,1,A channel is used for boating.,11916.0
minister,former,,You use a former minister to receive counsel.,2,You use a minister to receive counsel.,15237.0
drive,particular,,A particular drive is for enjoying the countryside.,2,A drive is for enjoying the countryside.,15256.0
praise,future,,Future praise is fitting reward.,2,Praise is fitting reward.,11677.0
earthquake,potential,,The effect of a potential earthquake is a tsunami.,2,The effect of an earthquake is a tsunami.,12788.0
header,perforated,,A perforated header is used for support for a framed opening.,2,A header is used for support for a framed opening.,13818.0
corn,fake,,A fake corn is very painful to walk on.,2,A corn is very painful to walk on.,14467.0
closet,virtual,,The virtual closet is dark.,2,The closet is dark.,10723.0
bull,red,,A red bull charges that matador.,2,A bull charges that matador.,12835.0
prisoner,youthful,,A youthful prisoner does time.,2,A prisoner does time.,10127.0
pond,solar,,A solar pond contains water.,2,A pond contains water.,3216.0
company,virtual,,A virtual company fires employees.,2,A company fires employees.,3623.0
driving,conventional,,Conventional driving is for people who have permission.,2,Driving is for people who have permission.,6521.0
space,apparent,,An apparent space is used for storage.,2,A space is used for storage.,14363.0
bank,small,,You use a small bank to deposit or withdraw money.,2,You use a bank to deposit or withdraw money.,5255.0
animal,fixed,,A fixed animal is for food.,1,An animal is for food.,11922.0
doormat,decorative,,A decorative doormat is for keeping dirt outside.,2,A doormat is for keeping dirt outside.,13929.0
blanket,compliant,,A compliant blanket puts out a fire.,0,A blanket puts out a fire.,9886.0
day,historic,,The historic day is divided into an a.m.,2,The day is divided into an a.m.,6572.0
piece,articulated,,An articulated piece is used for creating the whole.,2,A piece is used for creating the whole.,11006.0
diver,bold,,Sometimes a bold diver causes a splash.,3,Sometimes a diver causes a splash.,2361.0
tab,indoor,,An indoor tab is for opening cans.,2,A tab is for opening cans.,3263.0
ice,dead,,Dead ice is melted.,0,Ice is melted.,331.0
aquarium,beautiful,,Beautiful aquarium is used for attract.,2,Aquarium is used for attract.,7272.0
singer,decent,,A decent singer sings to a listener.,2,A singer sings to a listener.,8111.0
finger,fake,,A fake finger is pointing at someone.,2,A finger is pointing at someone.,9316.0
desk,present,,A present desk is for spilling coffee over it.,2,A desk is for spilling coffee over it.,4329.0
sentence,particular,,This particular sentence has five words.,2,This sentence has five words.,10795.0
grocer,certified,,A certified grocer is used for facilitating people buying food.,2,A grocer is used for facilitating people buying food.,4176.0
bathtub,opulent,,An opulent bathtub is filled with water.,2,A bathtub is filled with water.,7148.0
nurse,auxiliary,,An auxiliary nurse cares for a patient.,2,A nurse cares for a patient.,2298.0
molecule,cyclic,,A cyclic molecule is for combining atoms in a regular pattern.,3,A molecule is for combining atoms in a regular pattern.,261.0
friends,imaginary,,My imaginary friends shares their candy.,1,My friends shares their candy.,13136.0
soap,small,,A small soap is for cleaning.,2,A soap is for cleaning.,12596.0
everything,possible,,Possible everything is made out of atoms.,4,Everything is made out of atoms.,9850.0
comedian,famous,,A famous comedian attempts to be funny.,2,A comedian attempts to be funny.,13158.0
world,paranoid,,The paranoid world is great.,1,The world is great.,3783.0
divorce,mediated,,Mediated divorce divides a family.,2,Divorce divides a family.,1017.0
study,platonic,,A platonic study is for a person intensely concentrating.,2,A study is for a person intensely concentrating.,2541.0
sun,visible,,The effect of visible sun is light.,2,The effect of sun is light.,12719.0
anyone,suspicious,,Suspicious anyone cooks boiled eggs.,1,Anyone cooks boiled eggs.,1333.0
pub,fashioned,,A fashioned pub is for meeting with friends.,2,A pub is for meeting with friends.,9915.0
erasers,living,,Living erasers are used to rome graphite from paper.,0,Erasers are used to rome graphite from paper.,6309.0
van,radical,,A radical van carries camping gear.,2,A van carries camping gear.,4809.0
typewriter,worn,,A worn typewriter is used to write documents.,2,A typewriter is used to write documents.,10845.0
ride,annual,,The annual ride is smooth.,2,The ride is smooth.,3294.0
system,ideological,,You use an ideological system to store.,0,You use a system to store.,8503.0
employer,alternate,,An alternate employer hires new employees.,3,An employer hires new employees.,1358.0
supermarket,6th,,A 6th supermarket is used for selling small things.,2,A supermarket is used for selling small things.,11278.0
duplex,conductive,,A conductive duplex is for saving space.,2,A duplex is for saving space.,9058.0
human,dead,,A dead human  wants to survive at all costs.,0,A human  wants to survive at all costs.,5994.0
cigarette,normal,,A normal cigarette is used for smoking.,2,A cigarette is used for smoking.,1706.0
entrepreneur,multiple,,A multiple entrepreneur opens a business.,2,An entrepreneur opens a business.,8359.0
billboard,electronic,,An electronic billboard is used for advertisement.,2,A billboard is used for advertisement.,2132.0
story,apparent,,An apparent story is for making a point.,3,A story is for making a point.,540.0
tourniquet,vascular,,A vascular tourniquet is used for stopping a wound from bleeding.,2,A tourniquet is used for stopping a wound from bleeding.,1026.0
column,virtual,,You use a virtual column to hold up the roof.,0,You use a column to hold up the roof.,9557.0
yard,former,,A former yard is for a place for a garden.,2,A yard is for a place for a garden.,2209.0
hero,official,,An official hero rights injustices.,2,A hero rights injustices.,9390.0
mountain,blue,,A blue mountain is found in the mountain range.,3,A mountain is found in the mountain range.,1004.0
race,playable,,A playable race happens quickly.,2,A race happens quickly.,7196.0
actor,alleged,,An alleged actor appears in a movie.,2,An actor appears in a movie.,7499.0
wholesaler,agricultural,,An agricultural wholesaler supplies a retailer with goods.,2,A wholesaler supplies a retailer with goods.,8361.0
shadow,worth,,A worth shadow is formed when an object blocks light.,0,A shadow is formed when an object blocks light.,5934.0
showroom,original,,An original showroom is for showing cars.,2,A showroom is for showing cars.,3553.0
name,cool,,A cool name is for labeling things.,2,A name is for labeling things.,2277.0
lettuce,basic,,Basic lettuce is made of water.,2,Lettuce is made of water.,3295.0
homeowner,former,,A former homeowner gardens a garden.,2,A homeowner gardens a garden.,6076.0
stereo,portable,,A portable stereo is blaring.,2,A stereo is blaring.,1277.0
secretary,deputy,,A deputy secretary records the minutes of a meeting.,2,A secretary records the minutes of a meeting.,7983.0
financing,false,,False financing bridges the gap.,1,Financing bridges the gap.,4836.0
joke,lame,,Something that might happen as a consequence of a lame joke is laughter.,1,Something that might happen as a consequence of a joke is laughter.,2390.0
mound,artificial,,You use an artificial mound to place an almond.,0,You use a mound to place an almond.,224.0
love,false,,False love is common between men and women.,1,Love is common between men and women.,4916.0
pistol,semiautomatic,,You use a semiautomatic pistol to kill things.,2,You use a pistol to kill things.,13285.0
priest,alleged,,An alleged priest presents a sacrifice.,1,A priest presents a sacrifice.,2997.0
drug,horrible,,A horrible drug helps your body heal an illness.,1,A drug helps your body heal an illness.,6300.0
fork,single,,You use a single fork to eat food.,2,You use a fork to eat food.,12838.0
genitals,artificial,,Artificial genitals is very entertaining.,2,Genitals is very entertaining.,13109.0
butter,much,,Much butter is made from cream.,2,Butter is made from cream.,5402.0
condominium,complex,,A complex condominium is for being pretentious.,2,A condominium is for being pretentious.,12377.0
internet,possible,,You use the possible internet to communicate.,0,You use the internet to communicate.,13599.0
string,fifteenth,,A fifteenth string is for making into a ball.,2,A string is for making into a ball.,11655.0
relative,different,,A different relative mails a package.,2,A relative mails a package.,14501.0
storage,future,,A future storage is used for store things.,1,A storage is used for store things.,10023.0
community,hypothetical,,A hypothetical community judges their leader.,1,A community judges their leader.,2280.0
line,new,,You use a new line to pickup someone.,2,You use a line to pickup someone.,4107.0
king,former,,A former king is for ceremonial functions.,1,A king is for ceremonial functions.,434.0
artist,presumed,,A presumed artist attempts to sell a painting.,2,An artist attempts to sell a painting.,12674.0
color,crazy,,Crazy color is important to those who are painting.,2,Color is important to those who are painting.,9538.0
test,false,,A false test contains several problems to solve.,1,A test contains several problems to solve.,202.0
perfection,soft,,Sometimes soft perfection causes jealousy.,0,Sometimes perfection causes jealousy.,2028.0
heart,historic,,A historic heart is pumps blood around the body by contracton and relaxation of its muscles.,0,A heart is pumps blood around the body by contracton and relaxation of its muscles.,4034.0
maid,sissified,,A sissified maid places your coat in the closet.,2,A maid places your coat in the closet.,10548.0
hue,particular,,Particular hue is defined from 0 to 360 degrees.,2,Hue is defined from 0 to 360 degrees.,11435.0
flower,artificial,,An artificial flower is alive.,0,A flower is alive.,13407.0
marriage,fictitious,,Fictitious marriage follows love.,1,Marriage follows love.,8029.0
hostess,cute,,A cute hostess seats a customer.,2,A hostess seats a customer.,10628.0
fame,local,,Local fame is fleeting.,2,Fame is fleeting.,4135.0
disease,apparent,,An apparent disease spreads among a population.,2,A disease spreads among a population.,12328.0
trial,entertaining,,An entertaining trial lasts a long time.,2,A trial lasts a long time.,9299.0
magnet,annular,,An annular magnet has a north and a south pole.,2,A magnet has a north and a south pole.,15507.0
marker,indirect,,You use an indirect marker to play a boardgame.,0,You use a marker to play a boardgame.,1226.0
cello,baroque,,A baroque cello is used for playing in a quartet.,2,A cello is used for playing in a quartet.,15175.0
adult,active,,An active adult remembers her childhood.,2,An adult remembers her childhood.,13166.0
rope,twisted,,Twisted rope is for climbing.,2,Rope is for climbing.,10276.0
society,inland,,Inland society is composed of men and women.,2,Society is composed of men and women.,14953.0
tailor,unused,,An unused tailor measures you for a suit.,2,A tailor measures you for a suit.,4757.0
taxiway,surrounding,,A surrounding taxiway is used for an airplane.,2,A taxiway is used for an airplane.,10131.0
rock,dead,,You use a dead rock to kill a rabit.,0,You use a rock to kill a rabit.,3957.0
binder,surgical,,A surgical binder is for holding sheets of paper together.,2,A binder is for holding sheets of paper together.,4437.0
candle,virtual,,You use a virtual candle to light things when power is out.,0,You use a candle to light things when power is out.,91.0
child,bimonthly,,A bimonthly child plays with an imaginary friend.,0,A child plays with an imaginary friend.,14920.0
blood,simulated,,Simulated blood is made of haemoglobin.,0,Blood is made of haemoglobin.,14794.0
volume,disadvantageous,,A disadvantageous volume is for measuring stock market activity.,2,A volume is for measuring stock market activity.,14647.0
asphalt,prepared,,Prepared asphalt is made of tar.,3,Asphalt is made of tar.,2113.0
performance,mythical,,A mythical performance is a play.,2,A performance is a play.,4858.0
steak,raw,,Raw steak is served at a steakhouse.,1,Steak is served at a steakhouse.,5423.0
monkey,new,,A new monkey has a nose.,2,A monkey has a nose.,12265.0
patient,low,,A low patient visits a hospital.,4,A patient visits a hospital.,1976.0
cloth,elegant,,Elegant cloth shines metal.,2,Cloth shines metal.,9634.0
otoscope,used,,An used otoscope is used for inspection of the inner ear.,2,An otoscope is used for inspection of the inner ear.,8461.0
smoking,long-term,,Long-term smoking is for enjoying nicotine.,1,Smoking is for enjoying nicotine.,7567.0
arena,legislative,,You use a legislative arena to stage events.,1,You use an arena to stage events.,7689.0
gambler,compulsive,,A compulsive gambler picks a winner.,2,A gambler picks a winner.,16019.0
farm,virtual,,A virtual farm is used for raising crops.,1,A farm is used for raising crops.,8330.0
radio,original,,You use an original radio to gather information.,1,You use a radio to gather information.,6672.0
wrestling,junior,,Junior wrestling is for fun.,2,Wrestling is for fun.,10405.0
watch,fake,,A fake watch is for timing a race.,0,A watch is for timing a race.,10613.0
dictator,benevolent,,A benevolent dictator takes power.,2,A dictator takes power.,13325.0
friend,cozy,,My cozy friend doubles his score on the test.,2,My friend doubles his score on the test.,1609.0
aisle,central,,A central aisle is for walking.,3,An aisle is for walking.,32.0
pike,big,,A big pike is used for arming a foot soldier.,2,A pike is used for arming a foot soldier.,1910.0
camper,fifth,,A fifth camper sets up a tent.,2,A camper sets up a tent.,14520.0
dynamite,commercial,,You use a commercial dynamite to tunnel into a mountain.,2,You use a dynamite to tunnel into a mountain.,4946.0
wrestling,full,,The effect of full wrestling is to entertain rednecks.,2,The effect of wrestling is to entertain rednecks.,15695.0
flask,bottomed,,A bottomed flask is used for wine.,2,A flask is used for wine.,3375.0
magazine,proprietary,,A proprietary magazine has pages.,2,A magazine has pages.,6111.0
car,dead,,A dead car drives down the street.,0,A car drives down the street.,13215.0
trash,11th,,11th trash is collected once a week.,0,Trash is collected once a week.,5631.0
line,expected,,You use an expected line to mark the place to saw.,2,You use a line to mark the place to saw.,2412.0
altar,lighted,,You use a lighted altar to pray to a god.,2,You use an altar to pray to a god.,799.0
bottle,fake,,You use a fake bottle to store liquid.,0,You use a bottle to store liquid.,7884.0
forest,endemic,,An endemic forest is used for carbon dioxide and oxygen exchange.,2,A forest is used for carbon dioxide and oxygen exchange.,14105.0
bunny,big,,A big bunny wants to hop.,2,A bunny wants to hop.,5478.0
pebble,nuclear,,A nuclear pebble is for covering exposed soil in landscaping.,1,A pebble is for covering exposed soil in landscaping.,10242.0
magazine,impossible,,You use an impossible magazine to pass time.,0,You use a magazine to pass time.,7379.0
skyscraper,historic,,A historic skyscraper is for urban areas.,2,A skyscraper is for urban areas.,10000.0
gasoline,wholesale,,Wholesale gasoline is used for cars.,2,Gasoline is used for cars.,4188.0
investigator,clinical,,A clinical investigator proves that an event occured.,2,An investigator proves that an event occured.,13819.0
motel,cheap,,A cheap motel is for guests.,2,A motel is for guests.,3574.0
arch,pubic,,You use a pubic arch to support an entrance.,0,You use an arch to support an entrance.,9603.0
hairdresser,outrageous,,An outrageous hairdresser charges a fee.,2,A hairdresser charges a fee.,12813.0
ship,future,,A future ship lists to port.,2,A ship lists to port.,12064.0
sound,low,,A low sound is for moving molecules.,1,A sound is for moving molecules.,13223.0
wheel,fabricated,,A fabricated wheel is for easy mobility.,2,A wheel is for easy mobility.,1464.0
hash,distinguished,,Distinguished hash is illegal.,2,Hash is illegal.,10225.0
blanket,complete,,A complete blanket covers two naked people.,2,A blanket covers two naked people.,14802.0
health,aquatic,,Aquatic health is very important to maintaining happiness.,1,Health is very important to maintaining happiness.,10159.0
jealousy,raging,,Sometimes raging jealousy causes deaths.,3,Sometimes jealousy causes deaths.,12177.0
politician,local,,A local politician governs a population.,2,A politician governs a population.,9373.0
wagon,strong,,A strong wagon is used for transporting items.,3,A wagon is used for transporting items.,14337.0
sieve,composite,,A composite sieve separates gold nuggets from sand.,3,A sieve separates gold nuggets from sand.,1696.0
attention,artificial,,Artificial attention is drawn to something loud.,0,Attention is drawn to something loud.,835.0
salad,great,,A great salad is generally green.,3,A salad is generally green.,11516.0
sun,possible,,The possible sun is essential for food production in plants.,1,The sun is essential for food production in plants.,4638.0
backyard,large,,A large backyard is surrounded by fences.,2,A backyard is surrounded by fences.,10805.0
loser,disgruntled,,A disgruntled loser experiences defeat.,2,A loser experiences defeat.,10843.0
mast,different,,A different mast is for holding up the sails.,2,A mast is for holding up the sails.,9327.0
john,big,,Big John is speaking nonsence.,2,John is speaking nonsence.,4864.0
king,foolish,,"The foolish king is dead, long live the king.",2,"The king is dead, long live the king.",13393.0
sickness,severe,,Severe sickness is caused by eating bad food.,3,Sickness is caused by eating bad food.,13186.0
host,heavenly,,A heavenly host seats his guests at the table.,2,A host seats his guests at the table.,9034.0
role,historic,,A historic role is for an actor to play.,2,A role is for an actor to play.,299.0
society,historic,,Historic society is composed of men and women.,3,Society is composed of men and women.,1575.0
cleaning,on-site,,On-site cleaning is for impressing other people.,2,Cleaning is for impressing other people.,10963.0
beggar,creepy,,A creepy beggar begs.,2,A beggar begs.,9668.0
alcohol,unrecorded,,Unrecorded alcohol has the effect of intoxicating.,0,Alcohol has the effect of intoxicating.,15965.0
pond,false,,A false pond is for aquatic life.,1,A pond is for aquatic life.,5854.0
handgun,colored,,You use a colored handgun to protect yourself.,2,You use a handgun to protect yourself.,15209.0
mayor,new,,A new mayor is chosen by people in an election.,3,A mayor is chosen by people in an election.,12803.0
cloth,abrasive,,Abrasive cloth is used for bedding.,1,Cloth is used for bedding.,3085.0
bureau,national,,You use a national bureau to store belongings.,0,You use a bureau to store belongings.,9675.0
salon,local,,A local salon is for fingernail painting.,3,A salon is for fingernail painting.,1490.0
saddle,recumbent,,A recumbent saddle is for a mule.,2,A saddle is for a mule.,7752.0
square,former,,A former square has four corners.,0,A square has four corners.,903.0
caramel,sweet,,Sweet caramel coats an apple.,2,Caramel coats an apple.,12952.0
pope,future,,The future pope is appointed by cardinals.,2,The pope is appointed by cardinals.,814.0
thief,high-tech,,A high-tech thief has stolen.,2,A thief has stolen.,13059.0
flooring,water-resistant,,Water-resistant flooring is material used to create a floor.,2,Flooring is material used to create a floor.,13195.0
garden,loverly,,You use a loverly garden to grow vegetables.,2,You use a garden to grow vegetables.,611.0
bazaar,main,,A main bazaar is for buying things.,2,A bazaar is for buying things.,6036.0
minister,past,,A past minister is used for conducting a funeral.,1,A minister is used for conducting a funeral.,15547.0
dad,new,,New dad fences the garden.,2,Dad fences the garden.,9351.0
hole,liquid,,A liquid hole is dark.,0,A hole is dark.,12517.0
verdict,false,,A false verdict is guilty or innocent.,2,A verdict is guilty or innocent.,4920.0
king,future,,A future king vomits.,2,A king vomits.,5816.0
water,possible,,Possible water is for keeping plants alive.,0,Water is for keeping plants alive.,13440.0
budget,daunting,,A daunting budget helps you save money.,1,A budget helps you save money.,14997.0
situation,private,,A private situation is described as desperate.,2,A situation is described as desperate.,5695.0
organism,blue,,A blue organism needs something.,2,An organism needs something.,1378.0
acrylic,low,,A low acrylic is used for painting a picture.,2,An acrylic is used for painting a picture.,10765.0
prosthesis,annular,,You use an annular prosthesis to functionally replace a body part.,2,You use a prosthesis to functionally replace a body part.,13033.0
museum,historic,,A historic museum is for research.,2,A museum is for research.,5062.0
musician,unidentified,,An unidentified musician plays a fiddle.,2,A musician plays a fiddle.,347.0
thirst,physiological,,My physiological thirst is unquenched.,2,My thirst is unquenched.,1350.0
square,dead,,A dead square has four sides.,0,A square has four sides.,14572.0
cart,empty,,An empty cart follows a horse.,2,A cart follows a horse.,7848.0
friend,fake,,A fake friend is lending his car to me.,1,A friend is lending his car to me.,14595.0
plate,dead,,A dead plate is used for holding meal.,0,A plate is used for holding meal.,13344.0
plowman,divine,,A divine plowman drives an ox.,2,A plowman drives an ox.,668.0
human,ugly,,An ugly human is good.,2,A human is good.,3888.0
steam,secondary,,Secondary steam opens the pores.,2,Steam opens the pores.,8666.0
painting,nude,,The effect of nude painting is paint on ladders.,0,The effect of painting is paint on ladders.,553.0
kid,future,,A future kid rings a doorbell.,0,A kid rings a doorbell.,8620.0
success,probable,,Probable success is in the eyes of the beholder.,2,Success is in the eyes of the beholder.,4038.0
builder,commercial,,A commercial builder bridges a river.,3,A builder bridges a river.,949.0
garbage,rotten,,A rotten garbage holdses garbage.,2,A garbage holdses garbage.,11556.0
celebrity,artificial,,An artificial celebrity is associated with fans.,1,A celebrity is associated with fans.,14278.0
jewelry,fine,,Fine jewelry is meant to be worn.,2,Jewelry is meant to be worn.,1911.0
driver,concentric,,A concentric driver sounds his horn.,2,A driver sounds his horn.,13773.0
viola,different,,A different viola is used for playing sissy music.,2,A viola is used for playing sissy music.,7574.0
granite,tall,,Tall granite is carved.,2,Granite is carved.,3964.0
carpenter,handsome,,A handsome carpenter saws lumber.,2,A carpenter saws lumber.,9190.0
to,unable,,Unable to have a child you need a family.,2,To have a child you need a family.,7.0
coast,but,,A but coast is for mapping the edge of the ocean.,0,A coast is for mapping the edge of the ocean.,8204.0
clarinet,original,,An original clarinet is for playing a tune.,2,A clarinet is for playing a tune.,13198.0
sale,proposed,,A proposed sale is for getting rid of items.,3,A sale is for getting rid of items.,156.0
police,hired,,The hired police gives grief to the public.,2,The police gives grief to the public.,12426.0
massage,nice,,Nice massage is soothing.,3,Massage is soothing.,11953.0
actor,handsome,,A handsome actor signs his name.,2,An actor signs his name.,3552.0
worker,good,,A good worker desires to advance.,3,A worker desires to advance.,8371.0
pub,public,,A public pub is for watching football or soccer.,2,A pub is for watching football or soccer.,14248.0
pedometer,personal,,A personal pedometer is used for measuring distance.,2,An pedometer is used for measuring distance.,11409.0
drag,racial,,Racial drag is equivalent to friction.,0,Drag is equivalent to friction.,3722.0
motherboard,particular,,You use a particular motherboard to base a computer on.,3,You use a motherboard to base a computer on.,15142.0
sidewalk,elevated,,You use an elevated sidewalk to rollerblade.,2,You use a sidewalk to rollerblade.,2332.0
season,cruel,,A cruel season is one fourth of a year.,2,A season is one fourth of a year.,2378.0
lamp,articulated,,An articulated lamp is for illuminating an area.,2,A lamp is for illuminating an area.,7687.0
vegetables,frozen,,Frozen vegetables is steamed.,3,Vegetables is steamed.,6224.0
bleach,non,,Non bleach is used to make paper white.,0,Bleach is used to make paper white.,349.0
friend,lean,,A lean friend is used for companionship.,2,A friend is used for companionship.,3284.0
nylon,ordinary,,Ordinary nylon is used for hose.,2,Nylon is used for hose.,10884.0
boss,circular,,A circular boss pages a worker.,2,A boss pages a worker.,1558.0
yard,marked,,You use a marked yard to park trucks not in use.,2,You use a yard to park trucks not in use.,4474.0
toddler,deficient,,A deficient toddler counts numbers up to ten.,1,A toddler counts numbers up to ten.,9945.0
mac,mobile,,A mobile mac is used to make graphics.,2,A mac is used to make graphics.,10346.0
cash,real,,Real cash is measured in dollars and cents.,2,Cash is measured in dollars and cents.,1519.0
oil,warm,,Warm oil is found under the ground.,2,Oil is found under the ground.,4671.0
cherry,sour,,A sour cherry has a pit in the middle.,2,A cherry has a pit in the middle.,3239.0
broom,industrial,,An industrial broom is for sweeping.,2,A broom is for sweeping.,6701.0
plain,base,,You use a base plain to smooth wood.,2,You use a plain to smooth wood.,502.0
shower,good,,You use a good shower to shave.,2,You use a shower to shave.,10471.0
rod,discontinuous,,You use a discontinuous rod to reinforce concrete.,0,You use a rod to reinforce concrete.,1709.0
bookend,perfect,,A perfect bookend is used for keeping books upright and neatly stacked.,2,A bookend is used for keeping books upright and neatly stacked.,14872.0
bean,false,,A false bean is for nutrition.,0,A bean is for nutrition.,2778.0
lizards,native,,Native lizards are small.,2,Lizards are small.,12690.0
lifting,actuated,,Actuated lifting it can right a fallen vase.,2,Lifting it can right a fallen vase.,440.0
plain,immense,,You use an immense plain to grow lots of wheat.,3,You use a plain to grow lots of wheat.,4839.0
curb,right-hand,,A right-hand curb is for a street.,2,A curb is for a street.,3098.0
column,future,,A future column is for supporting part of a structure.,0,A column is for supporting part of a structure.,10979.0
playing,content,,Sometimes content playing causes fatigue.,2,Sometimes playing causes fatigue.,15565.0
statue,nearby,,A nearby statue stays in one place.,2,A statue stays in one place.,966.0
sink,virtual,,A virtual sink is found in a kitchen.,0,A sink is found in a kitchen.,12407.0
collectible,great,,A great collectible completes a collection.,2,A collectible completes a collection.,1797.0
sofa,full,,A full sofa has legs.,2,A sofa has legs.,14615.0
lightning,energetic,,Energetic lightning strikes twice.,0,Lightning strikes twice.,10379.0
family,erstwhile,,An erstwhile family includes three children.,2,A family includes three children.,8116.0
knife,foldable,,A foldable knife is used for breaking down into pieces.,2,A knife is used for breaking down into pieces.,15851.0
mosquito,hungry,,A hungry mosquito sucks blood.,3,A mosquito sucks blood.,15321.0
churchyard,rural,,A rural churchyard is for bride to throw the bouqet.,2,A churchyard is for bride to throw the bouqet.,9218.0
celebrating,fair,,Fair celebrating is for enjoying mutual satisfaction.,2,Celebrating is for enjoying mutual satisfaction.,9700.0
minister,outgoing,,You use an outgoing minister to receive counsel.,1,You use a minister to receive counsel.,9015.0
labeler,automatic,,You use an automatic labeler to lable things.,2,You use a labeler to lable things.,13569.0
iron,commercial,,A commercial iron is used for ironing.,2,An iron is used for ironing.,2420.0
tap,fat,,A fat tap is for getting beer out of a keg.,2,A tap is for getting beer out of a keg.,5421.0
submarine,purple,,A purple submarine travels deep in the ocean.,2,A submarine travels deep in the ocean.,9738.0
pillowcase,lightweight,,A lightweight pillowcase is for decoration.,2,A pillowcase is for decoration.,9687.0
bookend,live,,A live bookend is used for keeping books upright on a shelf.,0,A bookend is used for keeping books upright on a shelf.,481.0
cannula,vascular,,A vascular cannula delivers fluids.,2,A cannula delivers fluids.,296.0
pool,sparkling,,You use a sparkling pool to do flips.,2,You use a pool to do flips.,377.0
training,barefoot,,Barefoot training is obtained by taking courses.,2,Training is obtained by taking courses.,8486.0
patterns,negative,,Negative patterns are used in sewing.,0,Patterns are used in sewing.,15689.0
air,false,,False air transports energy.,0,Air transports energy.,14294.0
den,related,,A related den is for hiding in.,2,A den is for hiding in.,4841.0
corn,organic,,Organic corn has been domesticated in mexico.,2,Corn has been domesticated in mexico.,11223.0
calling,left,,Something that might happen as a consequence of left calling is a wrong number.,1,Something that might happen as a consequence of calling is a wrong number.,15840.0
oxygen,false,,False oxygen dissolves in water.,0,Oxygen dissolves in water.,970.0
cellar,rustic,,A rustic cellar is for the basement.,2,A cellar is for the basement.,5755.0
friends,fat,,Fat friends visits friends.,2,Friends visits friends.,11814.0
land,unsuccessful,,You use unsuccessful land to grow food.,1,You use land to grow food.,6354.0
bucket,inventive,,An inventive bucket is for carrying small objects.,0,A bucket is for carrying small objects.,1318.0
attendant,zealous,,A zealous attendant mans a toll booth.,2,An attendant mans a toll booth.,11361.0
industry,equestrian,,An equestrian industry is for employing people.,2,An industry is for employing people.,1005.0
literature,indigenous,,Indigenous literature is used for expanding your mind and entertainment.,2,Literature is used for expanding your mind and entertainment.,12209.0
heat,dead,,Dead heat is generated in an explosion.,0,Heat is generated in an explosion.,14169.0
law,theoretical,,A theoretical law is ratified into being a bill.,3,A law is ratified into being a bill.,6181.0
television,educational,,Educational television is divided into stations.,2,Television is divided into stations.,7583.0
coat,bold,,A bold coat is for looking good.,2,A coat is for looking good.,14380.0
firefly,4th,,4th firefly lights up.,2,Firefly lights up.,13460.0
winery,new,,A new winery bottles wine.,2,A winery bottles wine.,1273.0
arm,depressing,,A depressing arm is for holding a hand.,2,An arm is for holding a hand.,4581.0
rifle,scarce,,You use a scarce rifle to shoot stuff.,2,You use a rifle to shoot stuff.,8637.0
marble,genuine,,Genuine marble is used for roll.,2,Marble is used for roll.,11381.0
toothpaste,commercial,,Commercial toothpaste is used with a tooth brush.,2,Toothpaste is used with a tooth brush.,309.0
grocer,organic,,An organic grocer is used for buying groceries from.,2,A grocer is used for buying groceries from.,9695.0
driveway,main,,A main driveway has a road at one end.,2,A driveway has a road at one end.,8456.0
information,disorganized,,Disorganized information wants to be free.,0,Information wants to be free.,9330.0
cup,past,,A past cup is for holding a substance or an object.,0,A cup is for holding a substance or an object.,7424.0
religion,former,,Former religion is for bilking the masses.,1,Religion is for bilking the masses.,6562.0
play,carefree,,The carefree play is opening in september or october.,2,The play is opening in september or october.,11629.0
cotton,painted,,Painted cotton is grown in a field.,0,Cotton is grown in a field.,3326.0
steel,genuine,,You use genuine steel to build things.,2,You use steel to build things.,13675.0
family,fake,,Fake family is nice.,1,Family is nice.,4481.0
meat,sauteed,,Sauteed meat is unable to be eaten by rabbits.,2,Meat is unable to be eaten by rabbits.,1995.0
homeowner,happy,,A happy homeowner answers a telephone call.,2,A homeowner answers a telephone call.,8319.0
bone,accessory,,You use an accessory bone to reward a dog.,2,You use a bone to reward a dog.,6581.0
dresser,single,,A single dresser is for furnishing a room.,2,A dresser is for furnishing a room.,2694.0
bus,positive,,A positive bus is used to carry people.,2,A bus is used to carry people.,8173.0
guitar,simulated,,Simulated guitar is made of strings.,2,Guitar is made of strings.,15892.0
try,probable,,You use a probable try to take a turn.,2,You use a try to take a turn.,1776.0
disease,apparent,,An apparent disease is used for causing sickness.,0,A disease is used for causing sickness.,14187.0
cup,molded,,A molded cup is for something you do with your hands.,2,A cup is for something you do with your hands.,15029.0
eraser,free,,A free eraser is for removing an image.,3,An eraser is for removing an image.,961.0
trampoline,individual,,You use an individual trampoline to exercise.,2,You use a trampoline to exercise.,9466.0
concrete,green,,Green concrete is opaque.,1,Concrete is opaque.,7295.0
razor,third,,A third razor is for shaving your face.,2,A razor is for shaving your face.,12441.0
hero,believed,,My believed hero does no wrong.,2,My hero does no wrong.,1341.0
